brand_name,active_ingredient,generic_name,use_case,side_effects,price,manufacturer,precautions,strength,dosage_form,is_otc,schedule,age_group,interactions,contraindications,hindi_name
Local Pharmacy Esomeprazole,Esomeprazole,Esomeprazole,GERD and ulcers,Headache; Constipation,42.25,Local Pharmacy,Take 30 mins before meals,20 mg,Tablet,False,H,adult,May reduce absorption of some drugs; take before meals.,Hypersensitivity.,
Nexpro 20,Esomeprazole,Esomeprazole,GERD and ulcers,Headache; Constipation,65.0,Torrent,Take 30 mins before meals,20 mg,Tablet,False,H,adult,May reduce absorption of some drugs; take before meals.,Hypersensitivity.,
Generic Ethinyl Estradiol + Levonorgestrel,Ethinyl Estradiol + Levonorgestrel,EE + Levonorgestrel,Oral contraceptive,Nausea; Spotting,101.25,Generic Manufacturer,Take daily at same time,Unknown,Tablet,False,H,adult,Consult your doctor; check for interactions.,Contraindications depend on patient condition; seek medical advice.,
Local Pharmacy Ethinyl Estradiol + Levonorgestrel,Ethinyl Estradiol + Levonorgestrel,EE + Levonorgestrel,Oral contraceptive,Nausea; Spotting,87.75,Local Pharmacy,Take daily at same time,Unknown,Tablet,False,H,adult,Consult your doctor; check for interactions.,Contraindications depend on patient condition; seek medical advice.,
Ovral L,Ethinyl Estradiol + Levonorgestrel,EE + Levonorgestrel,Oral contraceptive,Nausea; Spotting,135.0,Pfizer,Take daily at same time,Unknown,Tablet,False,H,adult,Consult your doctor; check for interactions.,Contraindications depend on patient condition; seek medical advice.,
Etoshine 90,Etoricoxib,Etoricoxib,Arthritis pain,Edema; Hypertension risk,95.0,Sun Pharmaceutical,Not for heart disease patients,90 mg,Tablet,False,H,adult,Avoid with active ulcers/anticoagulants; take with food.,"Active GI bleed, severe ulcer disease, hypersensitivity.",
Generic Etoricoxib,Etoricoxib,Etoricoxib,Arthritis pain,Edema; Hypertension risk,71.25,Generic Manufacturer,Not for heart disease patients,90 mg,Tablet,False,H,adult,Avoid with active ulcers/anticoagulants; take with food.,"Active GI bleed, severe ulcer disease, hypersensitivity.",
Local Pharmacy Etoricoxib,Etoricoxib,Etoricoxib,Arthritis pain,Edema; Hypertension risk,61.75,Local Pharmacy,Not for heart disease patients,90 mg,Tablet,False,H,adult,Avoid with active ulcers/anticoagulants; take with food.,"Active GI bleed, severe ulcer disease, hypersensitivity.",
Ferrous Sulfate 200,Ferrous Sulfate,Ferrous Sulfate,Iron deficiency anemia,Constipation; Nausea; Black stools,22.0,Generic,Take on empty stomach if tolerated,200 mg,Tablet,False,H,adult,Consult your doctor; check for interactions.,Contraindications depend on patient condition; seek medical advice.,
Generic Ferrous Sulfate,Ferrous Sulfate,Ferrous Sulfate,Iron deficiency anemia,Constipation; Nausea; Black stools,16.5,Generic Manufacturer,Take on empty stomach if tolerated,200 mg,Tablet,False,H,adult,Consult your doctor; check for interactions.,Contraindications depend on patient condition; seek medical advice.,
Local Pharmacy Ferrous Sulfate,Ferrous Sulfate,Ferrous Sulfate,Iron deficiency anemia,Constipation; Nausea; Black stools,14.3,Local Pharmacy,Take on empty stomach if tolerated,200 mg,Tablet,False,H,adult,Consult your doctor; check for interactions.,Contraindications depend on patient condition; seek medical advice.,
Generic Ferrous Sulfate + Folic Acid,Ferrous Sulfate + Folic Acid,Iron + Folic Acid,Anemia,Constipation; Stomach upset; Dark stools,13.5,Generic Manufacturer,Take with vitamin C for better absorption,Unknown,Tablet,False,H,adult,Consult your doctor; check for interactions.,Contraindications depend on patient condition; seek medical advice.,
Iron Folic Acid,Ferrous Sulfate + Folic Acid,Iron + Folic Acid,Anemia,Constipation; Stomach upset; Dark stools,18.0,Generic,Take with vitamin C for better absorption,Unknown,Tablet,False,H,adult,Consult your doctor; check for interactions.,Contraindications depend on patient condition; seek medical advice.,
Local Pharmacy Ferrous Sulfate + Folic Acid,Ferrous Sulfate + Folic Acid,Iron + Folic Acid,Anemia,Constipation; Stomach upset; Dark stools,11.7,Local Pharmacy,Take with vitamin C for better absorption,Unknown,Tablet,False,H,adult,Consult your doctor; check for interactions.,Contraindications depend on patient condition; seek medical advice.,
Allegra 120,Fexofenadine,Fexofenadine,Allergic rhinitis,Headache; Nausea,110.0,Sanofi,Non-sedating; avoid fruit juices,120 mg,Tablet,True,OTC,adult,Consult your doctor; check for interactions.,Contraindications depend on patient condition; seek medical advice.,फेक्सोफेनाडीन
Generic Fexofenadine,Fexofenadine,Fexofenadine,Allergic rhinitis,Headache; Nausea,82.5,Generic Manufacturer,Non-sedating; avoid fruit juices,120 mg,Tablet,True,OTC,adult,Consult your doctor; check for interactions.,Contraindications depend on patient condition; seek medical advice.,फेक्सोफेनाडीन
Local Pharmacy Fexofenadine,Fexofenadine,Fexofenadine,Allergic rhinitis,Headache; Nausea,71.5,Local Pharmacy,Non-sedating; avoid fruit juices,120 mg,Tablet,True,OTC,adult,Consult your doctor; check for interactions.,Contraindications depend on patient condition; seek medical advice.,फेक्सोफेनाडीन
Fluconazole 150,Fluconazole,Fluconazole,Fungal infections,Nausea; Headache; Liver effects,28.0,Generic,Single dose for vaginal yeast infections,150 mg,Tablet,False,H,adult,Consult your doctor; check for interactions.,Contraindications depend on patient condition; seek medical advice.,
Generic Fluconazole,Fluconazole,Fluconazole,Fungal infections,Nausea; Headache; Liver effects,22.5,Generic Manufacturer,Single dose for vaginal yeast infections,150 mg,Tablet,False,H,adult,Consult your doctor; check for interactions.,Contraindications depend on patient condition; seek medical advice.,
Local Pharmacy Fluconazole,Fluconazole,Fluconazole,Fungal infections,Nausea; Headache; Liver effects,19.5,Local Pharmacy,Single dose for vaginal yeast infections,150 mg,Tablet,False,H,adult,Consult your doctor; check for interactions.,Contraindications depend on patient condition; seek medical advice.,
Zocon 150,Fluconazole,Fluconazole,Fungal infections,Stomach pain; Rash,32.0,FDC,Liver monitoring with prolonged use,150 mg,Tablet,False,H,adult,Consult your doctor; check for interactions.,Contraindications depend on patient condition; seek medical advice.,
Fludac 20,Fluoxetine,Fluoxetine,Depression and OCD,Headache; Nervousness,38.0,Zydus Cadila,Regular psychiatric follow-up,20 mg,Tablet,False,H,adult,Risk of serotonin syndrome with MAOIs/Triptans.,MAOI use within 14 days.,
Fluoxetine 20,Fluoxetine,Fluoxetine,Depression and OCD,Nausea; Insomnia; Sexual dysfunction,35.0,Generic,Takes 2-4 weeks to work,20 mg,Tablet,False,H,adult,Risk of serotonin syndrome with MAOIs/Triptans.,MAOI use within 14 days.,
Generic Fluoxetine,Fluoxetine,Fluoxetine,Depression and OCD,Nausea; Insomnia; Sexual dysfunction,28.5,Generic Manufacturer,Takes 2-4 weeks to work,20 mg,Tablet,False,H,adult,Risk of serotonin syndrome with MAOIs/Triptans.,MAOI use within 14 days.,
Local Pharmacy Fluoxetine,Fluoxetine,Fluoxetine,Depression and OCD,Nausea; Insomnia; Sexual dysfunction,24.7,Local Pharmacy,Takes 2-4 weeks to work,20 mg,Tablet,False,H,adult,Risk of serotonin syndrome with MAOIs/Triptans.,MAOI use within 14 days.,
Prozac 20,Fluoxetine,Fluoxetine,Depression and OCD,Anxiety; Weight changes,85.0,Eli Lilly,Do not stop abruptly,20 mg,Tablet,False,H,adult,Risk of serotonin syndrome with MAOIs/Triptans.,MAOI use within 14 days.,
Azeflo Nasal Spray,Fluticasone + Azelastine,Fluticasone + Azelastine,Allergic rhinitis nasal spray,Nasal irritation; Dryness,295.0,Cipla,Use as directed; Not for children,Unknown,Spray,False,H,adult,Consult your doctor; check for interactions.,Contraindications depend on patient condition; seek medical advice.,
Generic Fluticasone + Azelastine,Fluticasone + Azelastine,Fluticasone + Azelastine,Allergic rhinitis nasal spray,Nasal irritation; Dryness,221.25,Generic Manufacturer,Use as directed; Not for children,Unknown,Spray,False,H,adult,Consult your doctor; check for interactions.,Contraindications depend on patient condition; seek medical advice.,
Local Pharmacy Fluticasone + Azelastine,Fluticasone + Azelastine,Fluticasone + Azelastine,Allergic rhinitis nasal spray,Nasal irritation; Dryness,191.75,Local Pharmacy,Use as directed; Not for children,Unknown,Spray,False,H,adult,Consult your doctor; check for interactions.,Contraindications depend on patient condition; seek medical advice.,
Folic Acid 5mg,Folic Acid,Folic Acid,Folate deficiency and pregnancy,Rare allergic reactions,12.0,Generic,Important during pregnancy,5MG,Tablet,False,H,adult,Consult your doctor; check for interactions.,Contraindications depend on patient condition; seek medical advice.,
Folvite 5mg,Folic Acid,Folic Acid,Folate deficiency and pregnancy,Minimal side effects,15.5,Abbott,Daily supplementation,5MG,Tablet,False,H,adult,Consult your doctor; check for interactions.,Contraindications depend on patient condition; seek medical advice.,
Generic Folic Acid,Folic Acid,Folic Acid,Folate deficiency and pregnancy,Rare allergic reactions,10.31,Generic Manufacturer,Important during pregnancy,5MG,Tablet,False,H,adult,Consult your doctor; check for interactions.,Contraindications depend on patient condition; seek medical advice.,
Local Pharmacy Folic Acid,Folic Acid,Folic Acid,Folate deficiency and pregnancy,Rare allergic reactions,8.94,Local Pharmacy,Important during pregnancy,5MG,Tablet,False,H,adult,Consult your doctor; check for interactions.,Contraindications depend on patient condition; seek medical advice.,
Foracort 200 Inhaler,Formoterol + Budesonide,Formoterol + Budesonide,Asthma maintenance,Tremors; Oral thrush,410.0,Cipla,Rinse mouth after use,200 mg,Inhaler,False,H,both,Consult your doctor; check for interactions.,Contraindications depend on patient condition; seek medical advice.,
Generic Formoterol + Budesonide,Formoterol + Budesonide,Formoterol + Budesonide,Asthma maintenance,Tremors; Oral thrush,307.5,Generic Manufacturer,Rinse mouth after use,200 mg,Inhaler,False,H,both,Consult your doctor; check for interactions.,Contraindications depend on patient condition; seek medical advice.,
Local Pharmacy Formoterol + Budesonide,Formoterol + Budesonide,Formoterol + Budesonide,Asthma maintenance,Tremors; Oral thrush,266.5,Local Pharmacy,Rinse mouth after use,200 mg,Inhaler,False,H,both,Consult your doctor; check for interactions.,Contraindications depend on patient condition; seek medical advice.,
Generic Furosemide,Furosemide,Furosemide,Edema and hypertension,Electrolyte imbalance; Dehydration,21.0,Generic Manufacturer,Monitor electrolytes,40 mg,Tablet,False,H,adult,Avoid in pregnancy; monitor potassium and renal function.,"Pregnancy, history of angioedema.",
Lasix 40,Furosemide,Furosemide,Edema and hypertension,Electrolyte imbalance; Dehydration,28.0,Sanofi,Monitor electrolytes,40 mg,Tablet,False,H,adult,Avoid in pregnancy; monitor potassium and renal function.,"Pregnancy, history of angioedema.",
Local Pharmacy Furosemide,Furosemide,Furosemide,Edema and hypertension,Electrolyte imbalance; Dehydration,18.2,Local Pharmacy,Monitor electrolytes,40 mg,Tablet,False,H,adult,Avoid in pregnancy; monitor potassium and renal function.,"Pregnancy, history of angioedema.",
Gabapin 300,Gabapentin,Gabapentin,Nerve pain; Seizures,Drowsiness; Dizziness,105.0,Intas,Do not stop suddenly,300G,Tablet,False,H,adult,Consult your doctor; check for interactions.,Contraindications depend on patient condition; seek medical advice.,
Generic Gabapentin,Gabapentin,Gabapentin,Nerve pain; Seizures,Drowsiness; Dizziness,78.75,Generic Manufacturer,Do not stop suddenly,300G,Tablet,False,H,adult,Consult your doctor; check for interactions.,Contraindications depend on patient condition; seek medical advice.,
Local Pharmacy Gabapentin,Gabapentin,Gabapentin,Nerve pain; Seizures,Drowsiness; Dizziness,68.25,Local Pharmacy,Do not stop suddenly,300G,Tablet,False,H,adult,Consult your doctor; check for interactions.,Contraindications depend on patient condition; seek medical advice.,
Diamicron MR 60,Gliclazide,Gliclazide,Type 2 Diabetes,Hypoglycemia; Weight gain,85.0,Serdia,Take with breakfast,60G,Tablet,False,H,adult,Hold with contrast studies; avoid in severe renal impairment.,"Severe renal impairment, lactic acidosis risk.",
Generic Gliclazide,Gliclazide,Gliclazide,Type 2 Diabetes,Hypoglycemia; Weight gain,63.75,Generic Manufacturer,Take with breakfast,60G,Tablet,False,H,adult,Hold with contrast studies; avoid in severe renal impairment.,"Severe renal impairment, lactic acidosis risk.",
Local Pharmacy Gliclazide,Gliclazide,Gliclazide,Type 2 Diabetes,Hypoglycemia; Weight gain,55.25,Local Pharmacy,Take with breakfast,60G,Tablet,False,H,adult,Hold with contrast studies; avoid in severe renal impairment.,"Severe renal impairment, lactic acidosis risk.",
Amaryl 1mg,Glimepiride,Glimepiride,Type 2 Diabetes,Low blood sugar,32.0,Sanofi,Monitor blood glucose regularly,1MG,Tablet,False,H,adult,Hold with contrast studies; avoid in severe renal impairment.,"Severe renal impairment, lactic acidosis risk.",ग्लाइमेपिराइड
Generic Glimepiride,Glimepiride,Glimepiride,Type 2 Diabetes,Hypoglycemia; Weight gain,21.38,Generic Manufacturer,Take before breakfast,1MG,Tablet,False,H,adult,Hold with contrast studies; avoid in severe renal impairment.,"Severe renal impairment, lactic acidosis risk.",ग्लाइमेपिराइड
Glimepiride 1mg,Glimepiride,Glimepiride,Type 2 Diabetes,Hypoglycemia; Weight gain,25.0,Generic,Take before breakfast,1MG,Tablet,False,H,adult,Hold with contrast studies; avoid in severe renal impairment.,"Severe renal impairment, lactic acidosis risk.",ग्लाइमेपिराइड
Local Pharmacy Glimepiride,Glimepiride,Glimepiride,Type 2 Diabetes,Hypoglycemia; Weight gain,18.53,Local Pharmacy,Take before breakfast,1MG,Tablet,False,H,adult,Hold with contrast studies; avoid in severe renal impairment.,"Severe renal impairment, lactic acidosis risk.",ग्लाइमेपिराइड
Amaryl M 1/500,Glimepiride + Metformin,Glimepiride + Metformin,Type 2 Diabetes,Low sugar; GI upset,115.0,Sanofi,Take with meals,500G,Tablet,False,H,adult,Hold with contrast studies; avoid in severe renal impairment.,"Severe renal impairment, lactic acidosis risk.",
Generic Glimepiride + Metformin,Glimepiride + Metformin,Glimepiride + Metformin,Type 2 Diabetes,Low sugar; GI upset,86.25,Generic Manufacturer,Take with meals,500G,Tablet,False,H,adult,Hold with contrast studies; avoid in severe renal impairment.,"Severe renal impairment, lactic acidosis risk.",
Local Pharmacy Glimepiride + Metformin,Glimepiride + Metformin,Glimepiride + Metformin,Type 2 Diabetes,Low sugar; GI upset,74.75,Local Pharmacy,Take with meals,500G,Tablet,False,H,adult,Hold with contrast studies; avoid in severe renal impairment.,"Severe renal impairment, lactic acidosis risk.",
Insulatard,Human Insulin (NPH),Human Insulin (NPH),Diabetes insulin therapy,Hypoglycemia; Injection site reactions,420.0,Novo Nordisk,Store in fridge,100 IU/ml,Injection,False,H,adult,Dose changes with renal/hepatic impairment; check glucose closely.,Hypoglycemia.,मानव इंसुलिन
Actrapid,Human Insulin (Regular),Human Insulin (Regular),Diabetes insulin therapy,Hypoglycemia; Injection site reactions,410.0,Novo Nordisk,Store in fridge,100 IU/ml,Injection,False,H,adult,Dose changes with renal/hepatic impairment; check glucose closely.,Hypoglycemia.,मानव इंसुलिन
Generic Hydrochlorothiazide,Hydrochlorothiazide,Hydrochlorothiazide,Hypertension; Edema,Frequent urination; Low potassium,18.0,Generic Manufacturer,Take in morning,12.5 mg,Tablet,False,H,adult,Avoid in pregnancy; monitor potassium and renal function.,"Pregnancy, history of angioedema.",
Hydrochlorothiazide 12.5,Hydrochlorothiazide,Hydrochlorothiazide,Hypertension; Edema,Frequent urination; Low potassium,24.0,Generic,Take in morning,12.5 mg,Tablet,False,H,adult,Avoid in pregnancy; monitor potassium and renal function.,"Pregnancy, history of angioedema.",
Local Pharmacy Hydrochlorothiazide,Hydrochlorothiazide,Hydrochlorothiazide,Hypertension; Edema,Frequent urination; Low potassium,15.6,Local Pharmacy,Take in morning,12.5 mg,Tablet,False,H,adult,Avoid in pregnancy; monitor potassium and renal function.,"Pregnancy, history of angioedema.",
Generic Hydrocortisone,Hydrocortisone,Hydrocortisone,Skin inflammation,Skin thinning with prolonged use,33.75,Generic Manufacturer,Apply thin layer,Unknown,Cream,False,H,adult,Consult your doctor; check for interactions.,Contraindications depend on patient condition; seek medical advice.,
Hydrocortisone Cream,Hydrocortisone,Hydrocortisone,Skin inflammation,Skin thinning with prolonged use,45.0,Generic,Apply thin layer,Unknown,Cream,False,H,adult,Consult your doctor; check for interactions.,Contraindications depend on patient condition; seek medical advice.,
Local Pharmacy Hydrocortisone,Hydrocortisone,Hydrocortisone,Skin inflammation,Skin thinning with prolonged use,29.25,Local Pharmacy,Apply thin layer,Unknown,Cream,False,H,adult,Consult your doctor; check for interactions.,Contraindications depend on patient condition; seek medical advice.,
Buscopan,Hyoscine Butylbromide,Hyoscine Butylbromide,Abdominal cramps,Dry mouth; Blurred vision,45.0,Sanofi,Avoid driving if drowsy,Unknown,Tablet,False,H,adult,Consult your doctor; check for interactions.,Contraindications depend on patient condition; seek medical advice.,
Generic Hyoscine Butylbromide,Hyoscine Butylbromide,Hyoscine Butylbromide,Abdominal cramps,Dry mouth; Blurred vision,33.75,Generic Manufacturer,Avoid driving if drowsy,Unknown,Tablet,False,H,adult,Consult your doctor; check for interactions.,Contraindications depend on patient condition; seek medical advice.,
Local Pharmacy Hyoscine Butylbromide,Hyoscine Butylbromide,Hyoscine Butylbromide,Abdominal cramps,Dry mouth; Blurred vision,29.25,Local Pharmacy,Avoid driving if drowsy,Unknown,Tablet,False,H,adult,Consult your doctor; check for interactions.,Contraindications depend on patient condition; seek medical advice.,
Brufen,Ibuprofen,Ibuprofen,Pain relief and inflammation,Stomach upset; Dizziness; Headache,42.0,Abbott,Take with food; Avoid if stomach ulcers,Unknown,Tablet,False,H,adult,Consult your doctor; check for interactions.,Contraindications depend on patient condition; seek medical advice.,
Generic Ibuprofen,Ibuprofen,Ibuprofen,Pain relief and inflammation,Stomach upset; Dizziness; Headache,30.0,Generic Manufacturer,Take with food; Avoid if stomach ulcers,Unknown,Tablet,False,H,adult,Consult your doctor; check for interactions.,Contraindications depend on patient condition; seek medical advice.,
Ibugesic,Ibuprofen,Ibuprofen,Pain relief and inflammation,Nausea; Stomach pain,38.0,Cipla,Take with food,Unknown,Tablet,False,H,adult,Consult your doctor; check for interactions.,Contraindications depend on patient condition; seek medical advice.,
Local Pharmacy Ibuprofen,Ibuprofen,Ibuprofen,Pain relief and inflammation,Stomach upset; Dizziness; Headache,26.0,Local Pharmacy,Take with food; Avoid if stomach ulcers,Unknown,Tablet,False,H,adult,Consult your doctor; check for interactions.,Contraindications depend on patient condition; seek medical advice.,
Brufen Plus,Ibuprofen + Paracetamol,Ibuprofen + Paracetamol,Pain and fever relief,Nausea; Stomach discomfort,32.5,Abbott,Take with food,Unknown,Tablet,False,H,adult,Consult your doctor; check for interactions.,Contraindications depend on patient condition; seek medical advice.,
Combiflam,Ibuprofen + Paracetamol,Ibuprofen + Paracetamol,Pain and fever relief,Stomach upset; Dizziness,28.0,Sanofi,Do not use for more than 3 days without consulting doctor,Unknown,Tablet,False,H,adult,Consult your doctor; check for interactions.,Contraindications depend on patient condition; seek medical advice.,
Generic Ibuprofen + Paracetamol,Ibuprofen + Paracetamol,Ibuprofen + Paracetamol,Pain and fever relief,Stomach upset; Dizziness,22.69,Generic Manufacturer,Do not use for more than 3 days without consulting doctor,Unknown,Tablet,False,H,adult,Consult your doctor; check for interactions.,Contraindications depend on patient condition; seek medical advice.,
Local Pharmacy Ibuprofen + Paracetamol,Ibuprofen + Paracetamol,Ibuprofen + Paracetamol,Pain and fever relief,Stomach upset; Dizziness,19.66,Local Pharmacy,Do not use for more than 3 days without consulting doctor,Unknown,Tablet,False,H,adult,Consult your doctor; check for interactions.,Contraindications depend on patient condition; seek medical advice.,
Basaglar,Insulin Glargine,Insulin Glargine,Diabetes insulin therapy,Hypoglycemia; Injection site reactions,780.0,Eli Lilly,Store in fridge,100 IU/ml,Injection,False,H,adult,Hypoglycemia with other antidiabetics; adjust with steroids/illness.,Hypoglycemia.,इंसुलिन ग्लार्जिन
Generic Insulin Glargine,Insulin Glargine,Insulin Glargine,Diabetes long-acting,Low blood sugar; Injection site reaction,588.75,Generic Manufacturer,Store in fridge,Unknown,Tablet,False,H,adult,Hypoglycemia with other antidiabetics; adjust with steroids/illness.,Hypoglycemia.,इंसुलिन ग्लार्जिन
Lantus,Insulin Glargine,Insulin Glargine,Diabetes long-acting,Low blood sugar; Injection site reaction,785.0,Sanofi,Store in fridge,Unknown,Tablet,False,H,adult,Hypoglycemia with other antidiabetics; adjust with steroids/illness.,Hypoglycemia.,इंसुलिन ग्लार्जिन
Local Pharmacy Insulin Glargine,Insulin Glargine,Insulin Glargine,Diabetes long-acting,Low blood sugar; Injection site reaction,510.25,Local Pharmacy,Store in fridge,Unknown,Tablet,False,H,adult,Hypoglycemia with other antidiabetics; adjust with steroids/illness.,Hypoglycemia.,इंसुलिन ग्लार्जिन
Apidra,Insulin Glulisine,Insulin Glulisine,Diabetes insulin therapy,Hypoglycemia; Injection site reactions,860.0,Sanofi,Store in fridge,100 IU/ml,Injection,False,H,adult,,,इंसुलिन
Feroglobin,Iron + Vitamins,Iron Complex,Anemia and fatigue,Stomach discomfort,125.0,Vitabiotics,Take with orange juice,Unknown,Tablet,False,H,adult,Consult your doctor; check for interactions.,Contraindications depend on patient condition; seek medical advice.,
Generic Iron + Vitamins,Iron + Vitamins,Iron Complex,Anemia and fatigue,Stomach discomfort,93.75,Generic Manufacturer,Take with orange juice,Unknown,Tablet,False,H,adult,Consult your doctor; check for interactions.,Contraindications depend on patient condition; seek medical advice.,
Local Pharmacy Iron + Vitamins,Iron + Vitamins,Iron Complex,Anemia and fatigue,Stomach discomfort,81.25,Local Pharmacy,Take with orange juice,Unknown,Tablet,False,H,adult,Consult your doctor; check for interactions.,Contraindications depend on patient condition; seek medical advice.,
Generic Isotretinoin,Isotretinoin,Isotretinoin,Severe acne,Dryness; Teratogenic,138.75,Generic Manufacturer,Strict pregnancy prevention,20 mg,Tablet,False,H,adult,Consult your doctor; check for interactions.,Contraindications depend on patient condition; seek medical advice.,
Isotroin 20,Isotretinoin,Isotretinoin,Severe acne,Dryness; Teratogenic,185.0,Cipla,Strict pregnancy prevention,20 mg,Tablet,False,H,adult,Consult your doctor; check for interactions.,Contraindications depend on patient condition; seek medical advice.,
Local Pharmacy Isotretinoin,Isotretinoin,Isotretinoin,Severe acne,Dryness; Teratogenic,120.25,Local Pharmacy,Strict pregnancy prevention,20 mg,Tablet,False,H,adult,Consult your doctor; check for interactions.,Contraindications depend on patient condition; seek medical advice.,
Ganaton 50,Itopride,Itopride,Functional dyspepsia,Abdominal discomfort,82.0,Abbott,Take before meals,50 mg,Tablet,False,H,adult,Consult your doctor; check for interactions.,Contraindications depend on patient condition; seek medical advice.,
Generic Itopride,Itopride,Itopride,Acid reflux with bloating,Diarrhea; Rash,60.0,Generic Manufacturer,Avoid in GI bleeding,50 mg,Tablet,False,H,adult,Consult your doctor; check for interactions.,Contraindications depend on patient condition; seek medical advice.,
Itopride 50,Itopride,Itopride,Acid reflux with bloating,Diarrhea; Rash,78.0,Abbott,Avoid in GI bleeding,50 mg,Tablet,False,H,adult,Consult your doctor; check for interactions.,Contraindications depend on patient condition; seek medical advice.,
Local Pharmacy Itopride,Itopride,Itopride,Acid reflux with bloating,Diarrhea; Rash,52.0,Local Pharmacy,Avoid in GI bleeding,50 mg,Tablet,False,H,adult,Consult your doctor; check for interactions.,Contraindications depend on patient condition; seek medical advice.,
Canditral 100,Itraconazole,Itraconazole,Fungal infections,Stomach upset; Rash,225.0,Glenmark,Take with food,100 mg,Tablet,False,H,adult,Consult your doctor; check for interactions.,Contraindications depend on patient condition; seek medical advice.,
Generic Itraconazole,Itraconazole,Itraconazole,Fungal infections,Stomach upset; Rash,168.75,Generic Manufacturer,Take with food,100 mg,Tablet,False,H,adult,Consult your doctor; check for interactions.,Contraindications depend on patient condition; seek medical advice.,
Local Pharmacy Itraconazole,Itraconazole,Itraconazole,Fungal infections,Stomach upset; Rash,146.25,Local Pharmacy,Take with food,100 mg,Tablet,False,H,adult,Consult your doctor; check for interactions.,Contraindications depend on patient condition; seek medical advice.,
Generic Ketoconazole,Ketoconazole,Ketoconazole,Dandruff and scalp infections,Scalp irritation; Hair texture changes,176.25,Generic Manufacturer,Use twice weekly,Unknown,Shampoo,False,H,adult,Consult your doctor; check for interactions.,Contraindications depend on patient condition; seek medical advice.,
Ketoconazole Shampoo,Ketoconazole,Ketoconazole,Dandruff and scalp infections,Scalp irritation; Hair texture changes,225.0,Generic,Use twice weekly,Unknown,Shampoo,False,H,adult,Consult your doctor; check for interactions.,Contraindications depend on patient condition; seek medical advice.,
Local Pharmacy Ketoconazole,Ketoconazole,Ketoconazole,Dandruff and scalp infections,Scalp irritation; Hair texture changes,152.75,Local Pharmacy,Use twice weekly,Unknown,Shampoo,False,H,adult,Consult your doctor; check for interactions.,Contraindications depend on patient condition; seek medical advice.,
Nizral Shampoo,Ketoconazole,Ketoconazole,Dandruff and scalp infections,Dryness; Oiliness changes,245.0,Johnson & Johnson,Leave on for 5 minutes,Unknown,Shampoo,False,H,adult,Consult your doctor; check for interactions.,Contraindications depend on patient condition; seek medical advice.,
Darolac Sachet,Lactobacillus,Lactobacillus,Probiotic for diarrhea,Rare gas; Bloating,22.0,Aristo,Store in cool dry place,Unknown,Sachet,False,H,pediatric,Consult your doctor; check for interactions.,Contraindications depend on patient condition; seek medical advice.,
Generic Lactobacillus,Lactobacillus,Lactobacillus,Probiotic for diarrhea,Rare gas; Bloating,15.75,Generic Manufacturer,Store in cool dry place,Unknown,Sachet,False,H,pediatric,Consult your doctor; check for interactions.,Contraindications depend on patient condition; seek medical advice.,
Local Pharmacy Lactobacillus,Lactobacillus,Lactobacillus,Probiotic for diarrhea,Rare gas; Bloating,13.65,Local Pharmacy,Store in cool dry place,Unknown,Sachet,False,H,pediatric,Consult your doctor; check for interactions.,Contraindications depend on patient condition; seek medical advice.,
Sporolac Sachet,Lactobacillus,Lactobacillus,Probiotic support,Rare side effects,20.0,Uni Sankyo,Add to water/milk,Unknown,Sachet,False,H,pediatric,Consult your doctor; check for interactions.,Contraindications depend on patient condition; seek medical advice.,
Duphalac Syrup,Lactulose,Lactulose,Constipation,Bloating; Gas,145.0,Abbott,Adjust dose to 2-3 soft stools/day,Unknown,Syrup,False,H,pediatric,Consult your doctor; check for interactions.,Contraindications depend on patient condition; seek medical advice.,
Generic Lactulose,Lactulose,Lactulose,Constipation,Bloating; Gas,108.75,Generic Manufacturer,Adjust dose to 2-3 soft stools/day,Unknown,Syrup,False,H,pediatric,Consult your doctor; check for interactions.,Contraindications depend on patient condition; seek medical advice.,
Local Pharmacy Lactulose,Lactulose,Lactulose,Constipation,Bloating; Gas,94.25,Local Pharmacy,Adjust dose to 2-3 soft stools/day,Unknown,Syrup,False,H,pediatric,Consult your doctor; check for interactions.,Contraindications depend on patient condition; seek medical advice.,
Generic Levocetirizine,Levocetirizine,Levocetirizine,Allergies and hives,Somnolence; Dry mouth,41.25,Generic Manufacturer,Bedtime dosing preferred,5 mg,Tablet,True,OTC,adult,Consult your doctor; check for interactions.,Contraindications depend on patient condition; seek medical advice.,लेवोसेटिरीज़ीन
Levocet 5,Levocetirizine,Levocetirizine,Allergy relief,Drowsiness (mild),48.0,Cipla,Avoid alcohol,5 mg,Tablet,True,OTC,adult,Consult your doctor; check for interactions.,Contraindications depend on patient condition; seek medical advice.,लेवोसेटिरीज़ीन
Local Pharmacy Levocetirizine,Levocetirizine,Levocetirizine,Allergies and hives,Somnolence; Dry mouth,35.75,Local Pharmacy,Bedtime dosing preferred,5 mg,Tablet,True,OTC,adult,Consult your doctor; check for interactions.,Contraindications depend on patient condition; seek medical advice.,लेवोसेटिरीज़ीन
Xyzal 5,Levocetirizine,Levocetirizine,Allergies and hives,Somnolence; Dry mouth,62.0,Dr. Reddy's Laboratories,Bedtime dosing preferred,5 mg,Tablet,True,OTC,adult,Consult your doctor; check for interactions.,Contraindications depend on patient condition; seek medical advice.,लेवोसेटिरीज़ीन
